UserID,Item21IE,Item09IE,Item19IE,Item38IE,Item12IE,Item22IE,Item28PC2,Item27PC2,Item25PC2,Item29PC2,Item26PC2,Item14PT,Item01PT,Item16PT,Item18PT,Item11PT,Item06PC,Item17PC,Item23PC,Interest/Enjoyment,Perceived Competence,Pressure/Tension,Perceived Choice,Intrinsic Motivation
1,4,4,4,7,4,4,5,7,5,3,5,1,7,1,1,7,4,4,3,4.5,5,1,3.6666666666666665,5.041666666666666
2,7,7,1,7,7,7,4,7,7,7,6,1,7,1,2,4,5,4,2,7,6.2,1.8,3,5.6
3,7,6,4,5,5,6,7,7,5,6,4,1,7,2,1,4,3,1,5,5.5,5.8,1.8,5.666666666666667,5.791666666666667
4,4,5,1,5,7,6,6,5,7,7,6,1,6,1,1,4,4,4,4,5.666666666666667,6.2,1.8,4,5.516666666666667
5,4,4,4,4,4,4,7,7,6,7,6,1,7,1,1,7,1,1,7,4,6.6,1,7,6.15
6,7,7,1,7,7,7,7,5,7,7,6,1,7,1,1,7,1,1,7,7,6.4,1,7,6.85
7,7,7,1,7,7,6,6,6,4,5,4,1,7,1,1,4,1,1,7,6.833333333333333,5,1.6,7,6.308333333333333
8,7,7,1,7,7,7,7,7,7,7,4,1,7,1,1,7,4,4,4,7,6.4,1,4,6.1
9,6,7,3,7,7,6,4,5,4,4,4,2,6,5,2,4,4,2,6,6.333333333333333,4.2,3,5.333333333333333,5.216666666666667
11,4,4,4,4,4,4,4,5,4,3,3,2,7,4,2,7,4,1,2,4,3.8,2,4.333333333333333,4.533333333333333
12,6,6,1,6,6,6,6,7,6,6,3,1,7,1,1,7,2,2,6,6.166666666666667,5.6,1,6,6.191666666666666
14,7,7,1,6,6,7,6,7,6,7,4,1,7,5,1,4,4,1,6,6.666666666666667,6,2.4,5.666666666666667,5.983333333333334
15,7,5,1,6,7,7,7,7,7,7,6,1,7,4,1,4,5,2,3,6.5,6.8,2.2,4,5.775
17,7,5,1,6,7,6,6,7,7,7,4,2,7,5,1,7,2,1,5,6.333333333333333,6.2,2,6,6.133333333333333
18,7,7,1,7,5,5,7,7,4,7,6,1,6,5,1,4,1,3,6,6.333333333333333,6.2,2.6,6,5.9833333333333325
19,7,7,1,7,7,7,4,7,4,6,3,2,7,5,2,4,1,1,3,7,4.8,2.8,5.666666666666667,5.666666666666667
20,7,6,1,7,7,6,4,6,6,7,6,2,6,5,2,5,1,3,2,6.666666666666667,5.8,2.8,4.666666666666667,5.583333333333333
21,7,7,1,7,7,7,7,7,7,7,4,1,7,5,1,7,4,4,2,7,6.4,1.8,3.3333333333333335,5.733333333333333
22,6,5,2,6,5,5,4,5,6,3,3,2,6,2,2,4,3,2,4,5.5,4.2,2.4,5,5.075
23,7,7,1,7,7,7,7,7,7,7,6,1,7,1,1,4,1,1,7,7,6.8,1.6,7,6.8
24,4,4,4,4,4,4,4,5,4,3,3,1,6,1,1,7,5,4,2,4,3.8,1.2,3,4.4
25,7,7,1,7,7,4,7,7,5,7,6,1,7,2,1,7,4,3,3,6.5,6.4,1.2,4,5.925
26,4,4,1,4,5,7,4,5,4,5,3,2,7,5,2,7,5,1,4,5.166666666666667,4.2,2.2,4.666666666666667,4.958333333333334
27,5,5,1,6,7,5,6,5,4,4,3,2,6,1,1,7,3,2,7,5.833333333333333,4.4,1.4,6,5.708333333333334
29,7,7,1,7,7,7,7,7,7,7,6,2,6,1,1,7,1,1,4,7,6.8,1.4,6,6.6000000000000005
30,7,7,1,7,7,7,5,5,4,4,3,1,6,2,1,7,1,1,5,7,4.2,1.4,6.333333333333333,6.033333333333333
31,4,7,4,4,7,7,7,5,4,7,4,1,7,1,1,4,1,1,7,5.5,5.4,1.6,7,6.074999999999999
32,7,7,1,7,7,7,7,7,7,7,6,2,6,5,2,4,1,1,7,7,6.8,3,7,6.45
33,7,7,1,7,7,7,5,7,6,4,5,1,7,4,1,7,1,1,5,7,5.4,1.6,6.333333333333333,6.283333333333333
34,4,4,4,4,5,4,4,5,5,5,3,1,6,1,2,7,5,4,3,4.166666666666667,4.4,1.4,3.3333333333333335,4.625
36,7,7,1,7,7,6,7,7,7,7,4,1,7,1,1,7,1,1,7,6.833333333333333,6.4,1,7,6.808333333333334
37,7,7,1,6,7,6,7,6,5,7,3,1,6,5,1,7,1,1,6,6.666666666666667,5.6,2,6.666666666666667,6.233333333333333
38,7,7,1,7,5,7,7,5,7,7,4,1,6,5,2,7,1,4,7,6.666666666666667,6,2.2,6,6.116666666666667
39,7,7,1,7,7,7,6,6,6,7,5,1,7,5,1,4,2,1,6,7,6,2.4,6.333333333333333,6.233333333333333
40,7,7,4,7,7,7,6,7,5,5,4,2,7,2,2,7,5,3,6,6.5,5.4,1.6,4.666666666666667,5.741666666666666
41,5,4,2,5,4,4,5,6,7,7,6,1,6,1,1,7,5,4,2,4.666666666666667,6.2,1.2,3,5.166666666666667
42,7,7,1,7,7,7,7,7,6,6,6,1,7,4,1,4,1,1,3,7,6.4,2.2,5.666666666666667,6.216666666666667
43,7,7,1,7,7,7,7,7,7,7,6,1,7,1,1,7,1,1,2,7,6.8,1,5.333333333333333,6.533333333333333
45,7,5,2,7,7,6,4,6,7,3,4,1,7,1,1,7,2,4,2,6.333333333333333,4.8,1,4,5.533333333333333
46,7,7,1,7,6,7,7,7,7,7,6,2,7,5,1,7,1,1,7,6.833333333333333,6.8,2,7,6.658333333333333
47,7,7,1,7,7,7,4,5,4,4,4,1,7,1,1,7,1,1,6,7,4.2,1,6.666666666666667,6.216666666666667
48,5,6,1,7,7,7,7,5,5,6,4,1,7,4,1,7,1,1,2,6.5,5.4,1.6,5.333333333333333,5.908333333333333
49,4,4,4,5,4,4,4,7,5,4,3,1,7,1,1,7,5,4,3,4.166666666666667,4.6,1,3.3333333333333335,4.775
50,7,6,1,7,7,7,7,7,6,7,4,1,7,5,1,7,1,1,6,6.833333333333333,6.2,1.8,6.666666666666667,6.475
51,7,5,3,6,5,4,7,5,5,6,3,2,6,1,2,5,4,3,5,5.333333333333333,5.2,2,4.666666666666667,5.3
52,7,7,1,7,7,7,6,6,6,5,4,1,7,1,1,7,1,1,4,7,5.4,1,6,6.35
53,7,7,1,7,7,7,7,7,7,4,6,1,7,1,1,7,1,1,7,7,6.2,1,7,6.8
54,4,4,4,4,4,4,4,5,4,4,4,2,6,1,1,4,5,4,2,4,4.2,2,3,4.3
55,6,6,4,6,5,5,5,7,7,4,4,1,7,3,1,7,4,2,4,5.333333333333333,5.4,1.4,4.666666666666667,5.500000000000001
56,7,7,1,7,7,7,6,7,7,6,6,1,7,5,1,7,1,1,7,7,6.4,1.8,7,6.6499999999999995
57,7,4,1,7,6,5,4,5,4,4,5,2,6,2,1,4,1,1,6,6,4.4,2.2,6.666666666666667,5.716666666666667
58,7,6,2,7,7,6,7,7,6,7,4,1,7,5,1,7,1,1,3,6.5,6.2,1.8,5.666666666666667,6.141666666666667
59,7,5,1,7,6,6,4,7,6,3,6,2,6,5,1,6,2,2,5,6.333333333333333,5.2,2.4,5.666666666666667,5.7
60,5,5,3,4,6,6,4,5,5,4,4,1,7,5,2,7,5,4,4,5.166666666666667,4.4,2,3.6666666666666665,4.808333333333334
61,7,7,1,7,7,7,7,7,7,7,4,1,7,5,1,4,1,1,7,7,6.4,2.4,7,6.5
62,7,7,1,7,7,6,6,7,6,7,4,1,7,2,1,7,3,1,5,6.833333333333333,6,1.2,5.666666666666667,6.325
63,7,7,1,7,7,7,7,7,7,4,4,1,7,1,1,7,1,1,7,7,5.8,1,7,6.7
65,7,7,1,7,7,4,7,7,7,7,4,1,7,1,1,7,4,4,6,6.5,6.4,1,4.666666666666667,6.141666666666667
66,7,7,1,7,7,7,7,7,7,7,4,1,7,1,1,7,1,1,6,7,6.4,1,6.666666666666667,6.766666666666667
69,5,4,1,4,7,4,4,6,4,4,6,2,6,3,2,5,4,4,2,5.166666666666667,4.8,2.4,3.3333333333333335,4.7250000000000005
71,7,7,1,7,7,7,5,7,6,4,6,1,7,1,1,7,5,2,3,7,5.6,1,4,5.9
72,4,4,4,4,4,4,4,5,4,3,3,1,7,1,1,4,1,4,2,4,3.8,1.6,4.333333333333333,4.633333333333333
73,7,7,1,7,7,7,6,7,6,7,5,1,7,3,1,7,1,1,6,7,6.2,1.4,6.666666666666667,6.616666666666667
74,4,5,4,4,7,7,7,7,7,5,6,1,7,3,2,7,5,4,3,5.166666666666667,6.4,1.6,3.3333333333333335,5.324999999999999
75,7,7,1,7,4,7,4,7,5,7,4,2,6,1,1,5,4,1,7,6.5,5.4,1.8,6,6.0249999999999995
76,4,4,3,4,4,4,5,5,4,5,3,1,7,1,1,4,3,3,4,4.166666666666667,4.4,1.6,4.666666666666667,4.908333333333333
77,4,4,4,4,4,4,4,5,4,3,3,1,7,1,1,7,4,4,4,4,3.8,1,4,4.7
79,5,4,4,5,4,4,4,7,7,3,6,1,7,3,1,7,2,4,7,4.333333333333333,5.4,1.4,5.666666666666667,5.500000000000001
80,4,5,4,7,7,5,4,7,6,7,4,2,6,5,2,4,5,4,4,5.333333333333333,5.6,3,3.6666666666666665,4.9
81,6,6,1,6,7,5,6,7,6,7,6,1,6,1,1,7,1,1,6,6.166666666666667,6.4,1.2,6.666666666666667,6.508333333333334
82,4,5,4,6,6,4,4,5,6,3,5,1,7,1,2,7,1,4,3,4.833333333333333,4.6,1.2,4.666666666666667,5.2250000000000005
83,4,5,3,6,5,4,4,7,4,7,3,2,6,1,1,5,4,4,2,4.833333333333333,5,1.8,3.3333333333333335,4.841666666666666
84,4,5,4,4,4,7,4,7,4,3,6,1,7,1,1,7,5,1,2,4.666666666666667,4.8,1,4,5.116666666666667
85,7,7,1,4,7,7,4,7,4,7,3,1,7,1,1,7,1,1,2,6.5,5,1,5.333333333333333,5.958333333333333
86,7,7,1,7,7,7,7,5,7,7,4,1,7,1,1,7,1,1,7,7,6,1,7,6.75
87,7,7,1,7,7,7,5,7,6,4,3,1,7,1,1,7,1,1,7,7,5,1,7,6.5
88,4,7,3,6,7,5,6,7,7,5,4,1,7,5,2,7,5,4,7,5.666666666666667,5.8,2,4.666666666666667,5.533333333333333
89,7,6,1,7,7,6,7,7,6,7,5,2,6,5,2,5,5,4,2,6.666666666666667,6.4,2.8,3,5.316666666666666
90,7,7,1,7,7,7,7,7,7,7,4,1,7,5,1,7,1,1,6,7,6.4,1.8,6.666666666666667,6.566666666666666
91,4,4,4,4,4,7,7,7,4,3,3,2,6,5,2,7,5,4,4,4.5,4.8,2.4,3.6666666666666665,4.6416666666666675
92,7,7,1,7,7,7,7,7,6,7,3,1,7,4,1,7,1,1,7,7,6,1.6,7,6.6
93,5,5,2,7,6,7,5,7,6,6,6,1,7,3,2,7,4,4,3,6,6,1.6,3.6666666666666665,5.516666666666666
94,5,4,2,4,7,7,5,6,6,6,6,1,6,1,1,7,4,4,4,5.5,5.8,1.2,4,5.525
95,6,4,2,7,4,4,4,5,4,3,4,1,6,2,2,6,5,4,3,5.166666666666667,4,1.8,3.3333333333333335,4.675
96,7,5,4,7,7,7,7,7,6,6,6,1,7,1,1,4,3,4,7,6.166666666666667,6.4,1.6,5.333333333333333,6.074999999999999
97,4,5,3,4,6,5,6,7,7,6,6,1,7,4,1,7,5,4,4,4.833333333333333,6.4,1.6,3.6666666666666665,5.324999999999999
98,7,7,1,7,7,7,4,6,4,3,3,1,7,1,2,7,1,1,2,7,4,1.2,5.333333333333333,5.783333333333333
99,5,5,3,4,5,7,7,7,4,7,6,2,6,5,2,4,4,4,2,5.166666666666667,6.2,3,3.3333333333333335,4.925000000000001
100,7,7,1,7,7,7,7,7,7,7,6,1,7,1,1,7,1,1,7,7,6.8,1,7,6.95
101,6,7,1,6,7,7,7,7,7,7,6,1,7,1,1,7,2,1,7,6.666666666666667,6.8,1,6.666666666666667,6.783333333333333
102,4,5,2,6,7,5,6,7,6,5,6,1,7,1,1,7,5,2,5,5.5,6,1,4.666666666666667,5.791666666666667
103,6,6,1,6,6,6,6,7,6,6,6,1,7,5,1,7,1,1,5,6.166666666666667,6.2,1.8,6.333333333333333,6.225
105,7,7,1,7,7,7,7,7,4,7,3,1,7,5,1,7,1,1,7,7,5.6,1.8,7,6.45
106,6,6,2,6,5,4,6,7,6,5,4,2,6,4,2,7,4,1,4,5.5,5.6,2.2,5,5.4750000000000005
107,6,6,4,7,5,6,7,7,7,6,6,2,7,1,1,7,5,3,4,5.666666666666667,6.6,1.2,4,5.766666666666667
108,7,7,1,7,7,7,7,7,4,7,6,1,7,1,1,4,1,1,7,7,6.2,1.6,7,6.6499999999999995
109,7,6,1,6,7,7,7,7,7,7,6,1,7,1,1,7,5,1,7,6.666666666666667,6.8,1,5.666666666666667,6.533333333333333
110,5,5,2,5,6,4,5,7,7,4,5,1,7,1,2,7,5,2,4,5.166666666666667,5.6,1.2,4.333333333333333,5.475
111,4,4,4,4,4,4,6,5,4,5,3,1,7,3,1,7,4,4,5,4,4.6,1.4,4.333333333333333,4.883333333333334
112,6,6,1,6,7,7,6,6,6,6,6,1,6,2,1,7,5,2,4,6.5,6,1.4,4.333333333333333,5.858333333333333
114,7,7,1,7,7,7,7,7,7,7,6,1,7,1,1,7,1,1,7,7,6.8,1,7,6.95
115,4,4,4,4,4,4,6,6,5,4,6,1,7,1,1,7,3,2,3,4,5.4,1,4.666666666666667,5.266666666666667
116,7,4,1,7,4,4,4,5,7,6,6,1,7,1,1,6,5,1,7,5.5,5.6,1.2,5.666666666666667,5.891666666666667
117,4,4,4,4,7,4,4,5,4,3,3,2,6,4,2,7,4,4,2,4.5,3.8,2.2,3.3333333333333335,4.358333333333333
118,7,7,2,7,4,4,4,5,4,6,3,2,7,3,2,4,4,4,4,5.833333333333333,4.4,2.4,4,4.958333333333334
119,6,6,2,6,6,6,6,7,5,4,6,1,7,2,2,7,4,2,7,6,5.6,1.4,5.666666666666667,5.966666666666667
120,7,6,2,7,6,6,7,7,7,7,6,1,7,3,2,7,1,1,7,6.333333333333333,6.8,1.6,7,6.633333333333333
121,4,5,4,4,5,4,7,7,5,7,3,1,7,1,2,7,5,1,7,4.333333333333333,5.8,1.2,5.666666666666667,5.65
122,7,7,1,5,7,5,7,7,6,7,3,1,6,3,1,4,4,2,4,6.333333333333333,6,2.2,4.666666666666667,5.7
123,4,4,4,4,7,4,6,6,5,3,5,1,7,1,1,7,4,4,2,4.5,5,1,3.3333333333333335,4.958333333333334
124,4,6,2,5,4,4,4,5,5,4,4,2,6,5,2,4,3,3,5,4.833333333333333,4.4,3,5,4.808333333333334
125,7,6,4,7,4,4,7,7,6,7,3,1,7,1,1,7,1,1,7,5.333333333333333,6,1,7,6.333333333333333
126,7,4,4,7,4,7,4,5,4,3,6,1,7,1,1,7,5,4,2,5.5,4.4,1,3,4.975
127,7,7,1,7,7,6,6,6,4,6,3,1,7,1,2,4,1,1,6,6.833333333333333,5,1.8,6.666666666666667,6.175
128,4,4,1,4,6,5,4,6,4,4,3,2,6,5,2,4,3,2,2,5,4.2,3,4.333333333333333,4.633333333333333
129,6,4,3,4,4,4,5,6,6,5,4,1,7,1,2,7,5,3,2,4.5,5.2,1.2,3.3333333333333335,4.958333333333333
130,4,4,3,4,4,4,4,7,4,4,5,2,7,3,1,4,2,4,3,4.166666666666667,4.8,2.2,4.333333333333333,4.775
131,7,4,2,6,6,5,5,7,6,3,6,1,7,1,2,7,1,1,7,5.666666666666667,5.4,1.2,7,6.216666666666667
134,4,4,4,4,7,4,7,7,4,5,6,1,7,1,1,7,5,4,3,4.5,5.8,1,3.3333333333333335,5.158333333333333
135,7,4,4,4,4,4,4,7,4,5,3,1,7,1,2,7,4,1,2,4.5,4.6,1.2,4.333333333333333,5.058333333333334
136,6,7,1,5,6,6,5,6,7,6,3,1,7,2,2,7,5,1,2,6.166666666666667,5.4,1.4,4,5.541666666666667
137,7,7,1,7,7,6,7,7,7,6,6,1,7,1,1,7,1,1,7,6.833333333333333,6.6,1,7,6.858333333333333
138,6,6,1,5,7,6,6,7,4,7,6,2,7,5,1,4,1,1,6,6.166666666666667,6,2.6,6.666666666666667,6.058333333333334
139,5,5,2,4,6,5,4,5,4,4,3,2,7,4,2,7,5,2,5,5.166666666666667,4,2,4.666666666666667,4.958333333333334
140,7,7,1,7,7,7,4,7,4,4,4,1,7,1,1,4,1,1,7,7,4.6,1.6,7,6.25
141,6,4,1,6,4,6,7,6,7,6,3,2,6,4,1,6,2,1,5,5.5,5.8,2.2,6,5.775
142,4,4,4,4,4,4,4,5,6,3,4,1,7,1,2,5,5,4,2,4,4.4,1.6,3,4.449999999999999
143,7,7,2,7,7,4,4,7,4,3,6,1,6,3,1,6,3,1,7,6.333333333333333,4.8,1.8,6.333333333333333,5.916666666666666
144,6,6,1,6,4,5,5,6,4,6,6,1,6,1,1,7,1,1,7,5.666666666666667,5.4,1.2,7,6.216666666666667
145,7,7,1,7,7,7,7,7,7,7,4,1,7,1,1,7,1,1,7,7,6.4,1,7,6.85
146,6,4,1,6,5,6,5,5,4,5,4,2,6,5,2,4,1,1,7,5.666666666666667,4.6,3,7,5.566666666666666
147,7,7,1,7,7,7,7,7,7,7,6,1,7,2,1,4,1,1,7,7,6.8,1.8,7,6.75
148,4,4,4,4,5,6,5,7,6,3,6,2,6,2,2,6,3,2,5,4.5,5.4,2,5.333333333333333,5.308333333333334
149,7,6,2,7,5,5,7,7,6,6,5,2,7,5,2,4,1,1,6,6,6.2,2.8,6.666666666666667,6.016666666666667
150,6,7,2,7,7,7,5,5,6,6,3,2,6,2,2,4,1,1,2,6.666666666666667,5,2.4,5.333333333333333,5.65
151,5,4,1,4,4,4,4,5,4,3,3,1,7,1,2,7,4,4,2,4.666666666666667,3.8,1.2,3.3333333333333335,4.65
152,7,7,1,7,7,7,4,7,7,6,4,2,7,4,1,7,4,1,6,7,5.6,1.8,5.666666666666667,6.116666666666666
153,7,5,1,7,5,5,5,7,5,6,5,1,7,1,1,7,4,4,2,6,5.6,1,3.3333333333333335,5.483333333333333
154,4,4,4,4,4,4,7,7,7,3,6,1,7,1,1,7,4,4,4,4,6,1,4,5.25
155,5,4,1,7,6,5,4,5,5,6,6,1,6,2,1,5,1,1,6,5.666666666666667,5.2,1.8,6.666666666666667,5.933333333333334
156,4,4,4,5,4,4,4,6,4,3,3,1,6,1,2,7,5,4,2,4.166666666666667,4,1.4,3,4.441666666666667
157,7,7,1,7,7,7,6,6,4,6,6,2,7,5,1,7,1,1,7,7,5.6,2,7,6.4
158,7,5,1,7,6,6,6,6,7,6,6,1,7,4,1,7,4,4,4,6.333333333333333,6.2,1.6,4,5.7333333333333325
159,7,7,1,7,7,6,4,7,5,3,3,1,7,1,1,7,3,1,6,6.833333333333333,4.4,1,6,6.058333333333334
160,4,4,4,5,4,5,6,7,6,5,5,1,7,1,1,7,1,2,4,4.333333333333333,5.8,1,5.666666666666667,5.7
161,6,7,1,6,7,6,6,7,6,7,6,1,7,1,1,7,5,2,6,6.5,6.4,1,5,6.225
162,7,6,1,4,7,5,7,5,4,3,5,1,7,1,1,7,4,1,2,6,4.8,1,4.333333333333333,5.533333333333333
163,7,7,1,7,7,7,4,5,4,3,4,2,6,5,2,5,1,1,7,7,4,2.8,7,5.8
164,5,6,1,7,7,5,5,6,5,5,6,1,7,1,1,7,1,1,6,6.166666666666667,5.4,1,6.666666666666667,6.308333333333334
165,4,4,4,4,4,4,7,7,5,3,3,1,7,1,1,7,5,1,3,4,5,1,4.333333333333333,5.083333333333333
166,6,6,1,5,6,5,5,7,4,5,4,1,6,1,1,7,1,1,4,5.833333333333333,5,1.2,6,5.908333333333333
167,6,6,1,6,7,6,5,6,6,6,3,2,6,2,2,6,2,1,5,6.333333333333333,5.2,2,6,5.883333333333333
168,4,4,4,4,4,4,5,7,7,4,6,2,6,2,2,6,5,4,2,4,5.8,2,3,4.7
169,7,7,1,7,7,7,4,7,6,4,6,1,7,2,1,7,4,4,4,7,5.4,1.2,4,5.8
170,6,4,4,6,5,4,6,7,7,4,5,2,6,3,2,5,4,3,6,4.833333333333333,5.8,2.4,5,5.308333333333334
171,4,4,4,4,4,4,4,5,4,4,3,2,6,4,2,4,5,4,2,4,4,2.8,3,4.05
172,5,4,4,5,4,4,5,5,4,4,3,2,6,5,2,4,5,4,2,4.333333333333333,4.2,3,3,4.133333333333333
173,4,4,4,4,4,5,4,6,5,3,4,1,6,2,1,7,5,4,4,4.166666666666667,4.4,1.4,3.6666666666666665,4.708333333333334
174,7,6,1,7,7,7,7,7,6,5,3,2,6,1,2,4,2,1,2,6.833333333333333,5.6,2.2,5,5.808333333333334
175,7,7,1,7,7,7,4,7,7,7,6,1,7,1,1,7,1,1,7,7,6.2,1,7,6.8
176,7,7,1,7,7,6,7,7,4,7,5,1,7,1,1,7,4,2,2,6.833333333333333,6,1,4,5.958333333333333
177,4,4,4,4,4,4,5,6,4,6,4,1,7,1,1,7,3,1,2,4,5,1,4.666666666666667,5.166666666666667
178,6,6,1,7,7,7,7,7,6,6,6,1,7,1,1,7,4,1,4,6.666666666666667,6.4,1,5,6.266666666666667
179,5,4,3,4,6,5,5,7,5,7,5,1,7,5,1,7,4,2,5,4.833333333333333,5.8,1.8,5,5.458333333333333
180,7,5,4,7,5,7,7,7,6,7,6,1,7,5,1,7,1,1,7,5.833333333333333,6.6,1.8,7,6.408333333333333
181,6,6,2,6,6,6,7,7,7,7,6,1,7,1,1,7,1,1,7,6,6.8,1,7,6.7
182,4,4,2,4,5,4,4,5,4,3,3,1,7,1,2,7,4,4,4,4.5,3.8,1.2,4,4.775
183,4,4,4,4,4,4,6,5,4,3,3,1,7,1,2,7,5,4,2,4,4.2,1.2,3,4.5
185,4,5,3,5,5,4,7,7,7,5,4,1,6,1,1,7,4,4,2,4.666666666666667,6,1.2,3.3333333333333335,5.2
186,6,6,4,5,6,5,6,7,4,3,3,1,7,4,1,7,5,4,2,5.333333333333333,4.6,1.6,3,4.833333333333333
187,4,4,4,4,4,4,5,5,5,4,4,1,7,1,1,7,4,3,4,4,4.6,1,4.333333333333333,4.983333333333333
191,7,7,3,6,7,6,6,6,6,5,6,1,7,5,1,7,5,3,4,6.333333333333333,5.8,1.8,4,5.583333333333333
193,6,5,4,6,5,4,4,5,6,3,3,2,6,3,2,7,2,1,6,5,4.2,2,6.333333333333333,5.383333333333333
196,7,7,1,7,7,7,6,7,4,6,4,1,7,1,1,7,1,1,7,7,5.4,1,7,6.6
197,4,4,4,4,4,5,7,5,7,3,6,1,7,1,1,7,5,4,2,4.166666666666667,5.6,1,3,4.941666666666666
199,7,7,1,7,7,7,7,7,4,7,6,1,7,1,1,7,1,1,7,7,6.2,1,7,6.8
200,6,6,2,5,7,6,5,6,4,6,4,1,6,2,2,7,5,4,6,6,5,1.6,4.333333333333333,5.433333333333333
201,7,7,1,4,7,7,7,7,4,7,4,1,6,5,1,4,5,2,2,6.5,5.8,2.6,3.6666666666666665,5.341666666666667
202,7,7,1,7,4,6,6,7,6,7,6,1,7,1,1,7,1,2,6,6.333333333333333,6.4,1,6.333333333333333,6.516666666666667
203,6,6,1,4,5,6,7,7,6,7,4,1,7,1,1,7,1,1,5,5.666666666666667,6.2,1,6.333333333333333,6.3
204,4,7,4,4,4,6,5,5,4,7,5,1,7,1,2,5,1,1,2,4.833333333333333,5.2,1.6,5.333333333333333,5.441666666666666
205,4,4,4,4,4,4,4,5,5,3,4,1,6,1,1,7,5,4,2,4,4.2,1.2,3,4.5
206,7,7,1,7,6,7,6,7,7,7,5,1,7,1,1,7,1,1,7,6.833333333333333,6.4,1,7,6.808333333333334
207,4,4,4,4,5,4,4,5,4,3,3,1,7,1,1,7,5,4,3,4.166666666666667,3.8,1,3.3333333333333335,4.575
208,4,6,4,4,6,4,4,5,4,4,3,1,6,1,2,7,3,2,4,4.666666666666667,4,1.4,5,5.066666666666667
210,7,5,1,7,7,6,5,6,7,3,6,1,7,2,2,7,4,1,3,6.5,5.4,1.4,4.666666666666667,5.791666666666667
212,4,4,4,4,4,4,4,7,4,3,5,1,7,1,1,7,3,4,4,4,4.6,1,4.333333333333333,4.983333333333333
213,4,4,4,4,5,4,5,7,4,3,4,1,7,1,1,7,5,1,3,4.166666666666667,4.6,1,4.333333333333333,5.0249999999999995
214,7,7,1,6,7,5,7,7,7,4,4,1,7,1,1,4,1,2,5,6.5,5.8,1.6,6,6.175
215,6,7,1,7,7,7,4,7,6,6,4,1,7,1,1,7,4,1,4,6.833333333333333,5.4,1,5,6.058333333333334
216,7,7,1,7,7,7,7,7,7,7,6,1,7,1,1,7,5,1,2,7,6.8,1,4,6.2
217,7,7,1,7,7,7,7,7,4,4,4,1,7,4,1,4,1,1,6,7,5.2,2.2,6.666666666666667,6.166666666666667
218,4,5,2,5,5,5,4,6,6,4,3,1,7,1,1,7,1,4,2,5,4.6,1,4.333333333333333,5.233333333333333
219,6,5,4,5,6,5,5,7,5,6,4,1,7,3,1,7,4,4,3,5.166666666666667,5.4,1.4,3.6666666666666665,5.208333333333334
221,6,7,1,7,7,7,6,6,6,6,6,2,7,1,1,6,1,1,7,6.833333333333333,6,1.4,7,6.608333333333333
222,7,7,1,7,7,7,4,5,4,4,3,2,6,5,2,4,1,1,7,7,4,3,7,5.75
223,4,4,2,5,6,4,4,6,6,3,6,2,6,5,1,4,5,4,2,4.833333333333333,5,2.8,3,4.508333333333333
225,4,5,3,6,6,6,4,5,6,5,6,2,6,5,2,4,4,4,2,5.333333333333333,5.2,3,3.3333333333333335,4.716666666666667
226,7,7,3,7,7,4,6,6,4,6,4,1,7,1,1,7,5,1,4,6.166666666666667,5.2,1,4.666666666666667,5.758333333333334
227,4,6,2,4,5,5,4,6,4,5,6,1,6,4,2,7,5,4,2,5,5,2,3,4.75
228,7,7,1,7,7,6,6,7,6,6,6,1,7,1,1,7,5,4,4,6.833333333333333,6.2,1,3.6666666666666665,5.925
229,7,6,1,4,4,6,4,5,4,3,4,1,7,2,1,5,2,1,2,5.666666666666667,4,1.6,5,5.266666666666667
230,7,7,1,7,7,7,6,7,7,7,5,1,7,5,1,7,1,1,7,7,6.4,1.8,7,6.6499999999999995
231,5,4,1,5,7,4,5,5,6,3,3,1,7,1,1,7,5,3,2,5.333333333333333,4.4,1,3.3333333333333335,5.0166666666666675
232,4,4,4,4,4,4,7,5,4,4,4,1,7,1,1,4,5,4,2,4,4.8,1.6,3,4.55
233,7,7,1,7,7,7,7,7,6,7,6,1,6,1,1,5,3,1,7,7,6.6,1.6,6.333333333333333,6.583333333333333
